listingType,sellingState,hoursToSale,totalSale,releaseYear,processorSpeed,Cores,Memory,storageType
StoreInventory,EndedWithSales,1088.3,304.04,2014,1.4,2,4,4
Auction,EndedWithSales,0.2,152.8,2014,3,2,16,1
Auction,EndedWithoutSales,51.9,152.8,2014,2.6,2,16,1
FixedPrice,EndedWithSales,25.2,837.33,2018,3,4,8,2
FixedPrice,EndedWithSales,52.8,1100,2018,3,4,8,2
StoreInventory,EndedWithSales,1272.9,400,2014,1.4,2,16,2
FixedPrice,EndedWithSales,4263.5,260,2014,1.4,2,4,1
FixedPrice,EndedWithSales,18.6,840,2018,3.6,4,32,2
FixedPrice,EndedWithSales,3570.7,301.91,2014,2.5,2,4,1
StoreInventory,EndedWithSales,8.6,270.99,2014,1.4,2,4,1
Auction,EndedWithSales,168,1200,2018,3,4,32,2
FixedPrice,EndedWithSales,17.9,262.55,2014,1.4,2,4,2
StoreInventory,EndedWithoutSales,1792,289.95,2014,1.4,2,16,1
StoreInventory,EndedWithoutSales,1794.4,279.95,2014,1.4,2,16,1
StoreInventory,EndedWithSales,1106.4,259,2012,2.5,2,4,1
StoreInventory,EndedWithoutSales,1495.7,259.99,2014,1.4,2,4,1
StoreInventory,EndedWithoutSales,825.1,279.95,2014,1.4,2,16,1
StoreInventory,EndedWithSales,35.3,270.99,2014,1.4,2,4,1
StoreInventory,EndedWithoutSales,2286.6,279.95,2014,1.4,2,16,1
Auction,EndedWithSales,120,457,2014,1.4,2,4,1
Auction,EndedWithSales,168,653.15,2018,3.6,4,8,2
FixedPrice,EndedWithSales,104.5,245,2014,1.4,2,4,1
StoreInventory,EndedWithSales,1266.6,430,2014,2.6,2,8,2
FixedPrice,EndedWithoutSales,457.9,439.99,2014,2.6,2,8,1
StoreInventory,EndedWithoutSales,1647.3,259,2012,2.5,2,8,1
Auction,EndedWithSales,19.7,336.55,2014,3,2,16,3
FixedPrice,EndedWithSales,0.9,575,2018,3.6,4,8,2
FixedPrice,EndedWithSales,236.7,284.99,2014,1.4,2,4,1
FixedPrice,EndedWithoutSales,4649.3,358.52,2014,1.4,2,4,1
FixedPrice,EndedWithSales,2.3,250,2014,1.4,2,4,1
FixedPrice,EndedWithSales,142.7,312,2014,2.5,2,4,1
StoreInventory,EndedWithoutSales,59.6,369,2014,2.6,2,8,1
FixedPrice,EndedWithoutSales,1579.7,279.95,2014,1.4,2,16,1
FixedPrice,EndedWithSales,88.5,250,2014,2.5,2,8,1
FixedPrice,EndedWithSales,8.9,625,2018,3.6,4,8,2
FixedPrice,EndedWithSales,85,959.99,2018,3.6,4,64,2
FixedPrice,EndedWithSales,25.1,238.3,2014,1.4,2,4,1
StoreInventory,EndedWithoutSales,2236.5,736.78,2014,3,2,16,3
Auction,EndedWithSales,27.1,273.15,2014,1.4,2,4,2
StoreInventory,EndedWithSales,4055.6,739.95,2012,2.3,4,4,1
Auction,EndedWithSales,168,846.4,2018,3,4,8,2
Auction,EndedWithSales,120,457,2014,2.5,2,4,1
StoreInventory,EndedWithoutSales,8520.3,632.61,2014,3,2,16,2
FixedPrice,EndedWithSales,369.3,769,2012,2.6,4,16,4
Auction,EndedWithSales,168,232.5,2014,1.4,2,4,1
FixedPrice,EndedWithSales,49.3,485.05,2012,2.6,4,4,1
StoreInventory,EndedWithoutSales,1152.6,649,2014,3,2,16,2
FixedPrice,EndedWithSales,740.6,262,2014,2.5,2,4,1
StoreInventory,EndedWithSales,114.3,344.99,2014,1.4,2,4,2
FixedPrice,EndedWithSales,8.1,229,2012,2.5,2,4,1
FixedPrice,EndedWithSales,0.4,914.4,2018,3,4,32,2
Auction,EndedWithSales,168,280.22,2014,1.4,2,4,1
FixedPrice,EndedWithSales,899.6,233,2014,2.5,2,4,1
StoreInventory,EndedWithoutSales,1131.6,624,2014,3,2,16,2
Auction,EndedWithSales,168,503.3,2014,3,2,4,1
Auction,EndedWithSales,168,318.46,2014,2.6,2,8,1
Auction,EndedWithSales,120,438,2014,2.5,2,4,1
